Date_Time,Open,Max,Min,Close,Volume,SMA14,SMA30,EMA14,EMA30,Privot_Dot,Pct_Change,TR,R1,R2,R3,S1,S2,S3,BB_Lower,BB_Mean,BB_Upper,EMA_12,EMA_26,MACD,RSI,ATR,PSAR,Direction
2017-05-16,93.54,93.54,86.0,87.06,983,89.955,89.955,89.74821428571428,89.8585,88.86666666666667,-0.06235864297253624,9.340000000000003,91.73333333333335,96.4066666666667,99.27333333333335,84.19333333333334,-90.67333333333333,76.65333333333334,-237.36786968715734,89.955,417.2778696871573,89.71375,89.84365384615384,-0.12990384615383732,0.0,9.205357142857142,71.09358037911913,-1.0
2017-05-17,87.06,91.14,79.73,84.2,907,88.03666666666668,88.03666666666668,87.62877758913415,87.84523880044429,85.02333333333333,-0.03285090742016994,11.519999999999996,90.31666666666665,96.43333333333332,101.72666666666665,78.90666666666665,-85.84666666666668,67.49666666666666,-264.29278747488917,88.03666666666668,440.36612080822255,87.56173210161664,87.81594381468705,-0.25421171307040424,0.0,10.08955857385399,71.54790877153675,1.0
2017-05-18,84.21,92.03,84.2,91.25,869,88.84,88.84,88.73661167512691,88.78337458379579,89.16000000000001,0.08372921615201889,13.64,94.12000000000002,96.99,101.95000000000002,86.29000000000002,-87.07,78.46000000000002,-226.21095484977937,88.84,403.8909548497794,88.72597413793103,88.77595585728896,-0.04998171935793039,46.792105349117335,11.175738759970994,71.99315059610602,1.0
2017-05-19,92.11,102.31,86.17,97.84,1159,90.64000000000001,90.64000000000001,91.11167176009195,90.843976136,95.44,0.07221917808219191,16.14,104.71,111.58,120.85,88.57,-93.04,72.42999999999999,-331.2492724002317,90.64000000000001,512.5292724002318,91.2022223913395,90.87794507953036,0.32427731180914066,62.091762403082505,12.470906921733036,72.4294875841839,1.0
2017-05-21,101.15,101.48,98.65,99.85,150,92.17500000000001,92.17500000000001,93.13356512431183,92.6058628380121,99.99333333333334,0.020543744889615523,16.0,101.33666666666667,102.82333333333335,104.16666666666667,98.50666666666667,-100.13666666666667,95.67666666666668,-390.27298448566376,92.17500000000001,574.6229844856638,93.3040873081334,92.67497612155746,0.6291111865759405,64.95805728623823,13.287476141927195,73.62470808081655,1.0
2017-05-22,99.85,144.65,93.65,114.65,1197,95.38571428571429,95.38571428571429,97.66753415461747,96.41853997216249,117.65000000000002,0.1482223335002506,51.0,141.65000000000003,168.65,192.65000000000003,90.65000000000003,-120.64999999999999,39.650000000000034,-714.0606057000717,95.38571428571429,904.8320342715002,98.06735304167374,96.58312020283442,1.4842328388393184,77.32695793188738,21.23430451823812,74.77211975758388,1.0
2017-05-23,111.65,137.66,111.65,131.16,989,99.8575,99.8575,104.21816729180159,101.83945563085464,126.82333333333334,0.14400348887919745,27.870000000000005,141.99666666666667,152.83333333333334,168.00666666666666,115.98666666666668,-122.48666666666666,89.97666666666669,-1158.767271941509,99.8575,1358.4822719415092,104.97327840139637,102.15431229534921,2.8189661060471565,83.11670411812288,22.53214884274267,78.96479257212884,1.0
2017-05-24,131.7,149.82,131.7,139.52,1605,104.26444444444445,104.26444444444445,110.71805529631472,107.22599872226668,140.34666666666666,0.06373894480024411,35.269999999999996,148.99333333333334,158.46666666666664,167.11333333333334,130.87333333333333,-141.17333333333332,112.75333333333333,-1477.9336859414286,104.26444444444445,1686.4625748303176,111.80784955416712,107.69272749976781,4.115122054399308,84.83118710949607,24.87748333641338,82.90590501780112,-1.0
2017-05-25,139.25,140.94,110.07,114.55,1978,105.293,105.293,111.38950263962175,108.19683655948238,121.85333333333334,-0.17897075688073405,35.36,133.63666666666668,152.72333333333336,164.5066666666667,102.76666666666668,-129.15666666666664,71.89666666666668,-1408.9136376224924,105.293,1619.4996376224922,112.32748599793103,108.6389643651068,3.6885216328242336,66.009464644259,26.714268183065286,88.25903261637703,-1.0
2017-05-26,114.32,134.26,103.95,105.58,1570,105.3190909090909,105.3190909090909,110.41246863888264,107.87205784897637,114.59666666666665,-0.07830641641204716,32.22999999999999,125.2433333333333,144.90666666666664,155.55333333333328,94.93333333333331,-123.61333333333334,64.62333333333332,-1331.2001153394644,105.3190909090909,1541.8382971576461,111.09285875368836,108.24221571787116,2.8506430358171997,60.168454606553134,27.64189621912978,93.18391000706687,-1.0
