ID,ASK,COUNT,CREATED,MAX,MEAN,MEDIAN,MIN,STANDARDDEVIATION,SUM,SYMBOL,VARIANCE
3934,0,50,1498680314005,21.3641256430888,0.6807835948889929,0.006960159618945,0.00010000111223799999,3.08875843860947,34.0391797444496,29,9.54042869208122
3284,0,50,1498680256079,21.334840715073604,0.707392833940164,0.006960159618945,0.00010000111223799999,3.08839538609208,35.369641697008205,29,9.53818606083485
3674,0,50,1498680290770,21.358153059085698,0.6863916830979289,0.006960159618945,0.00010000111223799999,3.08838757560493,34.3195841548964,29,9.53813781715092
4064,0,50,1498680325024,21.3641256430888,0.7031083321642428,0.00773062478841,0.000100001112715,3.0881271766649903,35.1554166082122,29,9.536529459256858
3527,1,50,1498680279227,18.2187397693092,0.9541415320735501,0.013735788010199,0.00010214328378599999,3.0880702345554902,47.7070766036775,38,9.53617777354762
3385,1,50,1498680267801,18.2187397693092,0.954141532073555,0.013735788010199,0.00010214328378599999,3.0880702345554902,47.7070766036777,38,9.536177773547609
4194,0,50,1498680336259,21.3641256430888,0.699072083963584,0.008326368469720999,0.000100001112715,3.0880093422264303,34.9536041981792,29,9.53580169767771
2877,1,50,1498680221433,18.2187397693092,0.9544518925691791,0.012906779940985002,0.00010214328378599999,3.087976688083,47.72259462845899,38,9.535600026144051
3267,1,50,1498680256079,18.2187397693092,0.9544517364540529,0.013735788010199,0.00010214328378599999,3.08797515032745,47.7225868227027,38,9.53559052903982
3544,0,50,1498680279227,21.358153059085698,0.7014503145150078,0.006074744897578,0.00010000111223799999,3.0875530595297795,35.0725157257504,29,9.532983895411698
3799,0,50,1498680302620,21.358153059085698,0.7062943413172551,0.007750773376946,0.000100001112715,3.0863929326856296,35.3147170658628,29,9.5258213349318
3152,0,50,1498680244706,17.4403437993207,1.01578270624046,0.280195955,0.000100647985225,3.0848802678112994,50.7891353120232,30,9.51648626673153
7834,0,50,1498680661762,21.3747221630943,0.6414552555728901,0.006074744897578,0.000100001112715,3.06394510801255,32.0727627786445,29,9.38775962491401
4262,0,50,1498680348309,15.407445181199998,0.888860531234823,0.027962404063067995,0.000227927769131,3.06329580058015,44.44302656174111,60,9.383781161851982
7574,0,50,1498680639519,21.3747221630943,0.6619913370508901,0.0068452100670430005,0.000100001112715,3.05994576896619,33.0995668525445,29,9.3632681090141
7704,0,50,1498680650578,21.3747221630943,0.675215086004058,0.008326368469720999,0.000100001112715,3.05847727368531,33.7607543002029,29,9.354283233649499
4392,0,50,1498680359698,15.407445181199998,0.8708962955010259,0.027962404063067995,0.00014649096349,3.0502885491305096,43.5448147750513,60,9.30426023295669
4522,0,50,1498680370987,15.407445181199998,0.8697210379476958,0.027013752905611,0.00014649096349,3.0493723410667597,43.4860518973848,60,9.298671674462991
6923,0,50,1498680577306,21.3820433950981,0.602098346072287,0.006074744897578,0.000100001112715,3.03435870313702,30.1049173036143,29,9.207332739303359
6794,0,50,1498680566008,21.357767731085502,0.58466212660594,0.005164920981205,0.00010000111223799999,3.03208843252683,29.233106330296998,29,9.19356026266304
4324,0,50,1498680348309,21.3812727390977,0.5806192510378989,0.007226021771835,0.000100001112715,3.0294385200347205,29.0309625518949,29,9.17749774667015
4454,0,50,1498680359698,21.3812727390977,0.576022525475782,0.007226021771835,0.000100001112715,3.02917315745556,28.8011262737891,29,9.17589001784927
5884,0,50,1498680486218,21.376070811094998,0.6175068452744119,0.008326368469720999,0.000100001112715,3.02908455480073,30.875342263720604,29,9.175353240132349
5754,0,50,1498680474663,21.376070811094998,0.581986475417719,0.006074744897578,0.000100001112715,3.02753121818662,29.099323770885896,29,9.16594527709454
7444,0,50,1498680626885,21.3685569150911,0.5969579747201801,0.0068452100670430005,0.000100001112715,3.02703193969508,29.847898736009,29,9.16292236393417
6274,0,50,1498680519984,21.365088963089303,0.607439903949156,0.006074744897578,0.000100001112715,3.02612685825967,30.3719951974578,29,9.15744376228053
6404,0,50,1498680531988,21.365088963089303,0.600737907027715,0.006960159618945,0.000100001112715,3.02505663027746,30.0368953513857,29,9.1509676163856
5624,0,50,1498680462302,21.351602483082303,0.569263111747088,0.006074744897578,0.000100001112715,3.02471669575029,28.463155587354397,29,9.14891108955053
4974,0,50,1498680405211,21.3396573150761,0.582110018882125,0.005509371269251,0.00010000111223799999,3.02414972263834,29.105500944106304,29,9.145481544933551
4714,0,50,1498680383030,21.333684731073,0.570550034225706,0.005509371269251,0.00010000111223799999,3.0234976723531903,28.5275017112853,29,9.141538174725179
4912,0,50,1498680405211,15.051623585942302,0.8479115818407249,0.017894999999999998,0.000227927769131,3.01867472108026,42.39557909203629,60,9.11239707168901
2916,0,50,1498680221433,16.8892309612046,1.32656890654093,0.129160291153504,0.000102999974715,2.97321388294561,66.3284453270467,17,8.84000079374049
3049,0,50,1498680233032,16.8827333788361,1.3011756019671101,0.169823234422491,0.000102999974715,2.96582079223878,65.0587800983554,17,8.796092971675861
3178,0,50,1498680244706,16.8827333788361,1.30858819926898,0.169823234422491,0.000102999974715,2.9634946346591495,65.42940996344889,17,8.78230044965356
3308,0,50,1498680256079,16.8827333788361,1.3175431710673102,0.169823234422491,0.00011475296,2.9607895687011703,65.8771585533655,17,8.76627487012967
2789,0,50,1498680209531,17.4388133419519,1.17879325936682,0.10797254397327301,0.000102999974715,2.86991200256689,58.9396629683408,17,8.2363949024775
2658,0,50,1498680197922,17.1113031134541,1.10609112859719,0.09532201596127302,0.000102999974715,2.8126496190543997,55.3045564298595,17,7.910997879566881
3932,0,50,1498680314005,17.4403437993207,0.729224641366646,0.270848704296697,0.000100647985225,2.8027277458278594,36.46123206833229,30,7.855282817233321
2501,0,50,1498680185716,17.1113031134541,1.0545431318743002,0.07194729397327299,0.000102999974715,2.7968528125544103,52.72715659371511,17,7.82238565509352
6992,0,50,1498680589599,15.364443166800001,0.832988361990643,0.022328396695387002,0.000227927769131,2.72411286732104,41.649418099532205,60,7.42079091390406
3568,0,50,1498680279227,16.147582947709697,1.13112363737669,0.13542537201695698,0.00011475296,2.71473329612213,56.556181868834706,17,7.36977686907415
6082,0,50,1498680508873,15.3687883784,0.7974016443947969,0.027013752905611,0.00022783994899200003,2.7098312136052995,39.87008221973979,60,7.3431852062296
3442,0,50,1498680267801,16.147582947709697,1.12721015365597,0.13542537201695698,0.00011475296,2.6926189578867,56.3605076827987,17,7.25019685237085
