ID	ASK	COUNT	CREATED	MAX	MEAN	MEDIAN	MIN	STANDARDDEVIATION	SUM	SYMBOL	VARIANCE
6202	0	50	1498680519984	52074.2672249131	5123.42630846467	738.593293129659	0.248200000002	10586.6266654443	256171.315423233	BTC	112076664.153495
6332	0	50	1498680531988	52074.2672249131	5202.66698003638	738.593293129659	0.248200000003	10582.0417113225	260133.349001819	BTC	111979606.780169
5942	0	50	1498680497533	52074.2672249131	4347.98601109953	287.77492745795	0.248200000002	10003.7241115954	217399.300554976	BTC	100074496.100915
2559	1	50	1498680185716	52615.4253779639	4163.33325501951	157.820738891	0.275839367984842	9970.46055885272	208166.662750976	BTC	99410083.7556378
7762	0	50	1498680661762	52074.2672249131	4754.46747986593	738.593293129659	0.248200000002	9914.69457218686	237723.373993296	BTC	98301168.4597516
7632	0	50	1498680650578	52074.2672249131	4910.4200988349	917.542467152379	0.248200000002	9909.09996401044	245521.004941745	BTC	98190262.0967517
7242	0	50	1498680614076	52074.2672249131	4799.32737564879	917.542467152379	0.248200000002	9901.62134883165	239966.36878244	BTC	98042105.3356387
6982	0	50	1498680589599	52074.2672249131	4777.53287550832	917.542467152379	0.248200000002	9899.96079116911	238876.643775416	BTC	98009223.6666857
6462	0	50	1498680543273	52074.2672249131	4719.44646403909	657.238231735043	0.248200000002	9895.44010420958	235972.323201955	BTC	97919734.8559994
6073	0	50	1498680508873	52074.2672249131	4584.31794006286	738.593293129659	0.248550000001	9885.43300900051	229215.897003143	BTC	97721785.7754368
7112	0	50	1498680602467	52074.2672249131	4758.36100547934	1165.1054653125	0.248200000002	9875.71894616273	237918.050273967	BTC	97529824.7035975
2563	1	50	1498680197922	52615.4253779639	4181.19519757485	201.499904267238	0.251699999998	9806.18543543211	209059.759878742	BTC	96161272.7940808
2693	1	50	1498680209531	52615.4253779639	4179.4100335892	201.499904267238	0.251699999998	9765.5454093608	208970.50167946	BTC	95365877.1422877
2823	1	50	1498680221433	52615.4253779639	4179.55232754154	201.499904267238	0.251699999998	9765.52885930137	208977.616377077	BTC	95365553.9018478
2953	1	50	1498680233032	52615.4253779639	4142.56429121593	248.823932242301	0.251699999998	9634.51990145557	207128.214560797	BTC	92823973.7315435
3083	1	50	1498680244706	52615.4253779639	3975.76273743941	201.499904267238	0.251699999998	9591.75406962338	198788.136871971	BTC	92001746.1321366
4123	1	50	1498680336259	52615.4253779639	3773.81356620593	93.602043201974	0.251699999998	9531.89376857952	188690.678310297	BTC	90856998.8154851
3993	1	50	1498680325024	52615.4253779639	3641.15869414415	93.602043201974	0.251699999998	9488.45174109614	182057.934707208	BTC	90030716.4431103
4253	1	50	1498680348309	52615.4253779639	3737.8651095462	97.8220346966714	0.251699999998	9468.75206546374	186893.25547731	BTC	89657265.6772239
4383	1	50	1498680359698	52615.4253779639	3574.31644944617	93.602043201974	0.251699999998	9464.11704742988	178715.822472308	BTC	89569511.4874529
3863	1	50	1498680314005	52615.4253779639	3895.24453315249	97.8220346966714	0.251699999998	9425.1700597998	194762.226657625	BTC	88833830.6561466
3213	1	50	1498680256079	52615.4253779639	4104.92137218323	234.080963504863	0.251699999998	9256.21015164809	205246.068609161	BTC	85677426.3714731
3603	1	50	1498680290770	52615.4253779639	4109.88860605198	234.080963504863	0.251699999998	9221.30307106002	205494.430302599	BTC	85032430.3283409
6852	0	50	1498680577306	52074.2672249131	3947.34704865108	513.299283961	0.248200000002	9205.09607066412	197367.352432554	BTC	84733793.670156
6592	0	50	1498680554622	52074.2672249131	3641.61158587882	249.856600529504	0.248200000002	9185.75822108432	182080.579293941	BTC	84378154.0962181
6722	0	50	1498680566008	52074.2672249131	3839.57088817622	412.798306769508	0.248200000002	9160.11427534733	191978.544408811	BTC	83907693.5374218
4513	1	50	1498680370987	50196.3230227996	3802.30303641152	97.8220346966714	0.251699999998	9153.02964329024	190115.151820576	BTC	83777951.6509499
4643	1	50	1498680383030	50196.3230227996	3769.74756640977	97.8220346966714	0.251699999998	9042.02842186235	188487.378320489	BTC	81758277.9817666
3343	1	50	1498680267801	52615.4253779639	4058.88822581539	234.080963504863	0.251699999998	8919.94808371057	202944.41129077	BTC	79565473.8160918
3473	1	50	1498680279227	52615.4253779639	3998.43733670962	234.080963504863	0.251699999998	8818.04363023005	199921.866835481	BTC	77757893.4646408
7373	0	50	1498680626885	52074.2672249131	4171.24814803961	917.542467152379	0.248200000002	8650.85884365842	208562.407401981	BTC	74837358.732903
7502	0	50	1498680639519	52074.2672249131	4171.15304336525	917.542467152379	0.248200000002	8650.84946345954	208557.652168262	BTC	74837196.4394382
3857	1	50	1498680302620	52615.4253779639	3484.00302469093	97.8220346966714	0.251699999998	8335.541855819	174200.151234546	BTC	69481258.0301104
6853	1	50	1498680577306	33351.4738778069	4500.5946211392	580.193531148588	0.204794715515275	7827.76844607606	225029.73105696	BTC	61273958.8453841
6983	1	50	1498680589599	33351.4738778069	4341.50906995493	360.964778388588	0.204794715515275	7717.9271215436	217075.453497746	BTC	59566399.0534583
2822	0	50	1498680221433	38674.2612021264	5002.98910315003	738.593293129659	0.248550000001	7677.52824132825	250149.455157501	BTC	58944439.8963929
3602	0	50	1498680290770	38674.2612021264	4899.09123129349	995.437001839879	0.248550000001	7667.91720453895	244954.561564674	BTC	58796954.2556644
5162	0	50	1498680427462	38674.2612021264	4180.23312664653	701.104252598355	0.6999657015288	7649.26138298158	209011.656332326	BTC	58511199.7051732
5033	0	50	1498680416312	38674.2612021264	3809.66794926077	516.507400763847	0.6999657015288	7622.39704971631	190483.397463039	BTC	58100936.783524
